n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
577574.1395308232,585636.0309965559,585636.7351464237,585636.7355252078,585636.7355302061,585636.7355302073,3178584.8999004834,327172.2193598851,0.007000938288222692,3.743133590904045e-20,0.2225307672807979,2.290512517359413e-05,0.0
577574.0815714776,585636.0431865364,585636.7473395829,585636.7477183676,585636.7477233659,585636.7477233671,3178584.8960245554,327172.21935948654,0.00012133811763146636,1.6598931292328727e-23,0.003856835080154298,3.969846123838929e-07,1.0
577574.0106951473,585636.0565066173,585636.7606635917,585636.7610423772,585636.7610473755,585636.7610473767,3178584.8917891574,327172.2193590506,0.00014571583973039257,2.364585053134178e-23,0.004631701666613961,4.7674174680360266e-07,2.0
577573.9256835568,585636.0724831201,585636.7766449444,585636.7770237309,585636.7770287292,585636.7770287304,3178584.8867090507,327172.2193585277,0.00017476027159041863,3.35991637172052e-23,0.005554903580744738,5.717670591193632e-07,3.0
577573.8237829753,585636.0916335353,585636.7958013436,585636.7961801315,585636.7961851297,585636.7961851308,3178584.8806196703,327172.2193579009,0.0002093181118473996,4.761814254516051e-23,0.006653353855580015,6.848307120491906e-07,4.0
577573.7017928131,585636.1145593197,585636.8187345008,585636.8191132903,585636.8191182886,585636.8191182897,3178584.873329744,327172.2193571506,0.00025038589749409233,6.732308762954597e-23,0.00795872826269814,8.19193097788742e-07,5.0
577573.5559683316,585636.1419641809,585636.8461484297,585636.8465272214,585636.8465322198,585636.846532221,3178584.8646154837,327172.2193562536,0.00029912583048729565,9.494099333566764e-23,0.009507968374024548,9.786566182731103e-07,6.0
577573.3818800262,585636.174680501,585636.8788758855,585636.87925468,585636.8792596784,585636.8792596796,3178584.854212174,327172.2193551828,0.00035689880291128376,1.335559145334893e-22,0.011344331294202625,1.1676737343369267e-06,7.0
577573.1743544535,585636.2136804524,585636.9178894878,585636.9182682859,585636.9182732843,585636.9182732855,3178584.841810642,327172.21935390634,0.0004252921299952901,1.8740428744627525e-22,0.013518271177443903,1.391437700443091e-06,8.0
577572.9272411432,585636.2601197963,585636.9643455453,585636.9647243479,585636.9647293465,585636.9647293476,3178584.827043324,327172.2193523863,0.000506176657343092,2.624082272803369e-22,0.016089254428342598,1.6560694036731176e-06,9.0
577572.6333053816,585636.3153580357,585637.0196042237,585637.019983032,585637.0199880307,585637.0199880318,3178584.809477853,327172.21935057826,0.000601689542587731,3.6647438652350894e-22,0.019125212400910398,1.9685610300846224e-06,10.0
577572.2841059685,585636.380981365,585637.085252512,585637.0856313277,585637.0856363263,585637.0856363275,3178584.7886097636,327172.2193484303,0.0007143602543597033,5.106566736274653e-22,0.022706546380951546,2.3371882983317328e-06,11.0
